country,year,population,energy_use,emissions,renewable_pct,mean_temp,gdp
Uganda,1994,20108801.0,395.5017895553708,0.035,,23.41558333333333,198.4419879987952
Ukraine,1994,52075998.0,3183.56375925579,8.058,0.0,8.80725,1009.09405517578
United Arab Emirates,1994,2328188.0,11178.398481308895,32.364,0.0,28.397416666666672,25472.639657897907
United Kingdom,1994,57865745.0,3733.804878421508,9.896,0.465,9.15075,19709.238098365306
United States,1994,263126000.0,7755.082521332746,20.197,1.919,9.270333333333332,27694.853416234047
Uruguay,1994,3172834.0,757.037323551894,1.274,,18.131916666666665,5507.564813000561
Uzbekistan,1994,22463291.0,2062.210841143237,4.887,0.0,12.639166666666666,574.2290798966192
"Venezuela, RB",1994,21725188.0,2299.117851370225,,,,2688.983251452953
Viet Nam,1994,70854391.0,289.6770045264929,,,,229.8577872657568
"Yemen, Rep.",1994,16149147.0,186.96631578292525,,,,1735.044195432142
Zambia,1994,8576269.0,668.076358195867,0.279,,21.84658333333333,426.38659839010165
Zimbabwe,1994,10873148.0,889.068847985188,1.599,,21.60875,633.7332624209554
Afghanistan,1995,17065836.0,,0.083,,14.859166666666669,
Albania,1995,3187784.0,417.0346110742321,0.641,,12.782083333333333,911.3204654453264
Algeria,1995,28470191.0,851.7026458307463,3.369,0.0,23.7225,1466.9480676041517
Andorra,1995,63912.0,,6.648,,12.376416666666666,18443.25451977411
Angola,1995,13699778.0,460.7446874776554,0.921,,22.936166666666665,404.2948184961201
Argentina,1995,35070020.0,1507.1984747508927,3.576,0.177,15.149833333333332,7357.616277378798
Armenia,1995,3307581.0,497.3072226785285,1.017,,9.892166666666666,443.9248608579757
Australia,1995,18004882.0,5138.242340270916,16.853,0.471,21.955166666666667,20448.12196858736
Austria,1995,7948278.0,3374.076116251721,8.058,3.342,6.8465,30207.0674314652
Azerbaijan,1995,7684850.0,1809.44915921154,4.315,0.0,12.731583333333331,314.55801908333984
Bahrain,1995,558879.0,11537.600574100334,24.854,,26.257416666666668,11900.931777833535
Bangladesh,1995,122600370.0,128.84508853353623,0.172,0.0,25.41583333333333,309.4586808233672
Barbados,1995,262039.0,,3.903,,27.326000000000004,8460.47380869104
Belarus,1995,10193831.0,2431.099780980821,5.983,0.0,7.021249999999999,1370.6999138566423
Belgium,1995,10136811.0,5261.809354414204,12.426,0.435,10.69675,28413.826438736807
Belize,1995,204146.0,,1.848,,26.00475,4012.079590097284
Benin,1995,6226773.0,296.6791285735645,0.154,,27.61616666666667,348.43523891439366
Bhutan,1995,547989.0,,0.454,,12.428416666666664,530.1036769274173
Bolivia,1995,7874676.0,474.61769734108685,1.147,,21.73058333333333,852.7540348614444
Bosnia and Herzegovina,1995,3715564.0,402.1387224449128,0.917,,,502.3659809753391
Botswana,1995,1498836.0,965.6867953282748,2.031,,23.213833333333337,3156.1819451407905
Brazil,1995,161735073.0,998.7773747358189,1.661,2.03,25.55441666666667,4756.7484078540265
Bulgaria,1995,8406067.0,2745.1602234799343,6.93,0.0,10.809666666666669,2259.2592255522086
Burkina Faso,1995,10386722.0,173.2765626014829,0.064,,28.469583333333333,229.0922944968165
Burundi,1995,6066316.0,,0.039,,20.82433333333333,164.9153116793258
Cambodia,1995,10018497.0,282.3500977769889,0.15,,27.080416666666668,343.4852246715848
Cameroon,1995,13058516.0,424.11304601759343,0.412,,24.818,832.0066744876888
Canada,1995,29302311.0,7995.237107342353,16.678,1.279,-4.314333333333333,20679.63479266897
Chad,1995,7089064.0,280.12337788745594,0.06,,27.46183333333333,203.96485270504093
Chile,1995,14527381.0,1262.6193795663166,2.861,6.704,9.784916666666666,5081.4682771561
China,1995,1204855000.0,872.8263300238701,2.747,0.299,7.211583333333333,612.6802778986272
Colombia,1995,35804662.0,786.0609066774069,1.658,1.005,25.492833333333333,2583.3499143601766
"Congo, Dem. Rep.",1995,44433704.0,288.9230025601467,,,,127.00807873466758
"Congo, Rep.",1995,2749461.0,292.67398603861267,,,,769.6067948428291
Costa Rica,1995,3535176.0,666.8975113065743,1.355,,26.29283333333333,3275.252564474161
Cote d'Ivoire,1995,14855565.0,346.9846295355572,0.419,,,740.4730999133
Croatia,1995,4620030.0,1636.9626324532871,3.64,0.108,11.881749999999998,4929.057721834237
Cuba,1995,10925362.0,994.1825052763928,2.093,,26.1275,2785.244429541026
Cyprus,1995,862695.0,1974.0961715589635,6.799,0.0,19.079,15261.4169921875
Czechia,1995,10327253.0,4042.6111862470975,12.764,0.677,,5865.294605567264
Denmark,1995,5233373.0,3707.410929643349,11.781,1.777,-17.69783333333333,35321.09807730872
Djibouti,1995,633074.0,,0.492,,29.25975,786.2018667484581
Dominican Republic,1995,7888115.0,664.7740165143941,1.913,,26.35775,2109.169407286892
Ecuador,1995,11590514.0,679.1103636239299,2.03,0.0,22.574166666666667,2108.00698245316
"Egypt, Arab Rep.",1995,65652622.0,557.752927274638,,,,916.3266177008762
El Salvador,1995,5762131.0,583.2275280304995,0.865,,25.73408333333333,1548.3763038362022
