country_code,country_name,year,Electricity production from hydroelectric sources (% of total),Energy use (kg of oil equivalent per capita),Forest area (% of land area),Fossil fuel energy consumption (% of total),GDP growth (annual %),GDP per capita (current US$),"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Population growth (annual %),"Population, total",Renewable electricity output (% of total electricity output),Renewable energy consumption (% of total final energy consumption),Trade (% of GDP),Urban population (% of total population)
CAN,Canada,2016,57.9333031773487,7944.50789345873,38.7120133755838,9.9015071480203,1.03855092490855,42314.0615817218,6.40675155079521,1.13153974027004,36110803.0,64.9753767870051,22.1,65.3636845215556,81.3
CAN,Canada,2017,59.511613283612,8175.19037647623,38.7078876013737,9.04935890572905,3.03383491200222,45129.628116623,7.04492025305158,1.19543575451553,36545075.0,66.5646304151468,22.8,65.1010608504649,81.35
CAN,Canada,2018,58.5743662121454,8161.77967501099,38.7037629425392,9.35236404197685,2.74296344906655,46539.1761570405,7.09175111254794,1.43322615679352,37072620.0,65.9483864114063,22.3,66.5998858508762,81.411
CAN,Canada,2019,58.5128260136688,8125.58121311618,38.6996371683291,9.28537497318335,1.90843194590616,46352.8693445211,6.22680169266749,1.46171259938134,37618495.0,65.8791259309204,22.4,66.1714852804959,81.482
CAN,Canada,2020,59.2995415454321,7495.07932297849,38.6955125094946,8.9093413377548,-5.03823343468899,43537.839298904,6.56566994375263,1.08436897113225,38028638.0,67.0564578594512,23.9,61.1567709632763,81.562
CAN,Canada,2021,59.0927419043367,7524.86361233157,39.4701279256318,9.11552918239245,5.95052802804381,52886.6616372703,,0.553902422386893,38239864.0,67.0163805768966,23.8,62.2468367159421,81.653
CAN,Canada,2022,60.4024124705046,7578.02093601237,39.4659199995449,8.9322752961684,4.18903628100851,56256.8007264015,,1.80390457488184,38935934.0,,,67.3176215563989,81.752
CAN,Canada,2023,56.9998199057823,7336.06703531427,39.4617117321106,9.83654080081895,1.52874550838358,54220.3285039875,,2.90468017061162,40083484.0,,,66.6323313370668,81.862
MEX,Mexico,1960,,,,,,355.075199563018,,,36724615.0,,,20.1692024539877,50.753
MEX,Mexico,1961,,,,,5.00000000072309,373.712216995471,,3.12431006208309,37890118.0,,,19.0277401129944,51.59
MEX,Mexico,1962,,,,,4.66441467253127,388.456702411498,,3.21786520378848,39129200.0,,,18.6778421052632,52.428
MEX,Mexico,1963,,,,,8.10688692761114,419.552066324849,,3.2556284602266,40424065.0,,,18.2737264150943,53.265
MEX,Mexico,1964,,,,,11.9054807657866,480.704214437745,,3.28021557071982,41772049.0,,,17.4864940239044,54.1
MEX,Mexico,1965,,,,,7.09999999747173,505.854419498816,,3.30220788165866,43174477.0,,,17.1569230769231,54.931
MEX,Mexico,1966,,,,,6.09613930256681,544.935854193449,,3.31367366037443,44629106.0,,,16.4848684210526,55.761
MEX,Mexico,1967,,,,,5.85492487897324,575.769037534418,,3.30687527382857,46129608.0,,,15.8771987951807,56.587
MEX,Mexico,1968,,,,,9.42327881831926,615.922912128842,,3.28116698641116,47668303.0,,,16.3915803814714,57.411
MEX,Mexico,1969,,,,,3.41862002349839,659.71750685117,,3.23014011303745,49233194.0,,,16.8174630541872,58.229
MEX,Mexico,1970,,,,,6.50248403469675,699.006845485029,,3.16225908612736,50814953.0,,,17.4122972972973,59.021
MEX,Mexico,1971,,,,,3.76246768495716,747.912361003254,,3.09555574369582,52412558.0,,,16.359693877551,59.779
MEX,Mexico,1972,,,,,8.22880731245257,836.569673446138,,3.03963381322988,54030168.0,,,16.8900884955752,60.532
MEX,Mexico,1973,,,,,7.86111986063614,993.042879548426,,2.98500562726971,55667284.0,,,17.8768162083936,61.279
MEX,Mexico,1974,,,,,5.77682723020618,1256.10280601329,,2.92595888908101,57320149.0,,,18.9811111111111,62.022
MEX,Mexico,1975,,,,,5.74448504862428,1491.97048611111,,2.85868919208384,58982400.0,,,16.5145454545455,62.759
MEX,Mexico,1976,,,,,4.41744413626853,1465.49877862474,,2.78065399816892,60645512.0,,,18.3570751276441,63.491
MEX,Mexico,1977,,,,,3.39063970656844,1314.62044481645,,2.70521064388125,62308493.0,,,20.5412871822607,64.215
MEX,Mexico,1978,,,,,8.95694232786306,1604.40920452482,,2.64578827608807,63979046.0,,,21.5107402652974,64.934
MEX,Mexico,1979,,,,,9.69817013704461,2049.26468871816,,2.57646884468688,65648865.0,,,23.6401173402868,65.646
MEX,Mexico,1980,,,,,8.75662242586424,3054.62162291784,,2.48448875438519,67300334.0,,,22.4346196504217,66.339
MEX,Mexico,1981,,,,,9.58584115454994,3829.14437544129,,2.3376429152144,68892108.0,,,22.1172749435935,66.87
MEX,Mexico,1982,,,,,-0.0495863656386035,2620.95793392947,,2.21239661362638,70433260.0,,,24.1340136217434,67.396
MEX,Mexico,1983,,,,,-4.62412795987231,2169.85285279223,,2.16009999927553,71971240.0,,,27.0961020358622,67.919
MEX,Mexico,1984,,,,,3.51341334932273,2506.30742754755,,2.11119499659794,73506846.0,,,25.6724173446434,68.437
MEX,Mexico,1985,,,,,1.91921578613494,2601.70825226684,,2.06882546602699,75043414.0,,,24.3312923896659,68.95
MEX,Mexico,1986,,,,,-3.92995990782299,1756.93563367491,,2.03427532389064,76585637.0,,,29.6062225899787,69.459
MEX,Mexico,1987,,,,,2.06336322631584,1888.2631431041,,2.00496770997912,78136651.0,,,31.262320842785,69.963
